n,mint (ms),maxt (ms),avgt (ms),max rel err,avg rel err
4,0.0008,0.0175,0.0045,0.3636,0.0217
10,0.0039,0.0462,0.0134,0.1148,0.0129
15,0.0093,0.0266,0.0117,0.0854,0.0048
20,0.0177,0.0339,0.0205,0.0843,0.006
22,0.0194,0.0465,0.0234,0.0723,0.0069
25,0.03,0.0906,0.0501,0.0368,0.0049
27,0.0326,0.0547,0.0372,0.106,0.005
30,0.0417,0.084,0.0478,0.0551,0.0051
32,0.0508,0.0758,0.0564,0.0334,0.0034
35,0.058,0.0958,0.0692,0.0461,0.0028
37,0.0691,0.118,0.0791,0.082,0.0034
40,0.0856,0.1553,0.0973,0.0234,0.002
