n,max(ms) BB,avg(ms) BB,max(ms) DPC,avg(ms) DPC,max(ms) FP09,avg(ms) FP09,max(ms) FP07,avg(ms) FP07,max(ms) FP05,avg(ms) FP05,max(ms) FP03,avg(ms) FP03,max(ms) FP01,avg(ms) FP01
4,0.0076,0.0027,0.0048,0.0031,0.0025,0.0008,0.0019,0.0007,0.0021,0.0009,0.0022,0.001,0.002,0.001
10,0.0129,0.0094,0.0115,0.0084,0.0147,0.0036,0.0077,0.0044,0.0086,0.0062,0.0116,0.0083,0.0105,0.0082
15,0.033,0.019,0.036,0.0253,0.025,0.0103,0.021,0.0128,0.026,0.0188,0.055,0.0304,0.05,0.028
20,0.06,0.0349,0.074,0.0421,0.03,0.0215,0.034,0.0274,0.054,0.0425,0.097,0.069,0.109,0.0676
22,0.056,0.0381,0.077,0.0463,0.038,0.0271,0.052,0.0357,0.07,0.0565,0.149,0.0912,0.132,0.0915
25,0.089,0.047,0.105,0.0597,0.054,0.0379,0.065,0.052,0.105,0.0817,0.165,0.1334,0.172,0.1398
27,0.082,0.0533,0.113,0.078,0.057,0.0457,0.075,0.063,0.156,0.0994,0.218,0.1629,0.228,0.1704
30,0.115,0.0694,0.149,0.097,0.107,0.0658,0.123,0.0931,0.18,0.1364,0.295,0.2201,0.312,0.2315
32,0.108,0.0806,0.173,0.1171,0.117,0.0778,0.133,0.1026,0.215,0.1581,0.436,0.2641,0.358,0.2517
35,0.139,0.0937,0.205,0.1446,0.157,0.101,0.194,0.1339,0.323,0.2096,0.49,0.3345,0.468,0.3428
37,0.149,0.1053,0.263,0.1662,0.186,0.12,0.214,0.1495,0.312,0.2373,0.577,0.3982,0.548,0.3919
40,0.157,0.122,0.46,0.1998,0.221,0.1461,0.252,0.1899,0.392,0.2924,0.632,0.4924,0.688,0.4944
