n,min(ms),max(ms),avg(ms),repeated,max rel. err,avg rel. err,max rel. err (%),avg rel. err (%)
4,0.002,0.0076,0.0027,100000,0.684,0.072,68.367,7.194
10,0.008,0.0129,0.0094,10000,0.158,0.031,15.753,3.086
15,0.016,0.033,0.019,1000,0.085,0.01,8.543,0.967
20,0.029,0.06,0.0349,1000,0.084,0.014,8.434,1.391
22,0.034,0.056,0.0381,1000,0.088,0.016,8.752,1.566
25,0.041,0.089,0.047,1000,0.058,0.014,5.764,1.421
27,0.046,0.082,0.0533,1000,0.106,0.011,10.602,1.067
30,0.062,0.115,0.0694,1000,0.055,0.011,5.514,1.054
32,0.07,0.108,0.0806,1000,0.036,0.007,3.612,0.736
35,0.08,0.139,0.0937,1000,0.046,0.01,4.609,1.01
37,0.091,0.149,0.1053,1000,0.082,0.007,8.197,0.746
40,0.108,0.157,0.122,1000,0.026,0.006,2.572,0.61
