n,min(ms),max(ms),avg(ms),repeated,max rel. err,avg rel. err,max rel. err (%),avg rel. err (%)
4,0.0005,0.0025,0.0008,100000,0.148,0.019,14.815,1.871
10,0.0016,0.0147,0.0036,10000,0.024,0.003,2.376,0.27
15,0.003,0.025,0.0103,1000,0.013,0.002,1.294,0.176
20,0.004,0.03,0.0215,1000,0.013,0.001,1.277,0.082
22,0.004,0.038,0.0271,1000,0.004,0.001,0.446,0.056
25,0.006,0.054,0.0379,1000,0.003,0,0.343,0.037
27,0.006,0.057,0.0457,1000,0.005,0,0.451,0.031
30,0.008,0.107,0.0658,1000,0.002,0,0.223,0.044
32,0.009,0.117,0.0778,1000,0.002,0,0.197,0.02
35,0.009,0.157,0.101,1000,0.001,0,0.139,0.017
37,0.013,0.186,0.12,1000,0.001,0,0.141,0.008
40,0.012,0.221,0.1461,1000,0.001,0,0.112,0.011
